Time,Region,UserName,ETSMember,ETSServiceAuto,ETSQuestionAuto,AnswerHit,ETSQuesionManual,UserSays,UserSaysLower,JARVISAnswerKB,KBpageId,KBurl,KBWikiPosition,JARVISAnswerForm,SessionId
2020-07-08T00:01:27.148211Z,NABU,,,,,,,distribution,distribution,,,,,,33d1755f-ae5d-4785-93f3-055f0471c1b2
2020-07-08T00:01:28.67042Z,NABU,,,,,,,Modify member from a existing DL,modify member from a existing dl,NABU Mobile Phone,,,,Modify Distribution List Member,33d1755f-ae5d-4785-93f3-055f0471c1b2
2020-07-08T00:08:18.727724Z,NABU,,,,,,,ditr,ditr,,,,,,89ce983d-7215-468d-b39d-4b454b910d4e
2020-07-08T00:08:20.020287Z,NABU,,,,,,,Modify member from a existing DL,modify member from a existing dl,NABU Mobile Phone,,,,Modify Distribution List Member,89ce983d-7215-468d-b39d-4b454b910d4e
2020-07-08T00:15:12.000351Z,PH,,,,,,,PLS Customer Information Change,pls customer information change,How to Request for a Port Configuration?,,,,PLS Customer Information Change,a1bba550-b5ba-4cd7-b09d-60e285758f1a
2020-07-08T00:20:29.977014Z,JP,,,,,,,history,history,Zoom : IM Settings & Feature - MAC,,,,,314d953c-47cd-448f-9245-519ab085471b
2020-07-08T00:32:54.863058Z,PH,,,,,,,gsd-77530,gsd-77530,Global IT Contact Info,,,,,765ab531-80e2-4954-8ce3-3c49426ca8a6
2020-07-08T00:36:04.314593Z,PH,,,,,,,PLS Customer Information Change,pls customer information change,How to Request for a Port Configuration?,,,,PLS Customer Information Change,1b4b1b6f-f57d-4a83-9416-bbedadfa210c
2020-07-08T00:43:12.820565Z,PH,,,,,,,Modify member from a existing DL,modify member from a existing dl,Updating Global Address Book,,,,Modify Distribution List Member,c1a021af-ba0c-4e8e-820e-3238f15649fd
2020-07-08T00:43:13.040759Z,PH,,,,,,,add to mail DL,add to mail dl,,,,,,c1a021af-ba0c-4e8e-820e-3238f15649fd
2020-07-08T00:43:50.617199Z,PH,,,,,,,add new member to email DL,add new member to email dl,Modify distribution list in MS outlook 2016,,,,Modify Distribution List Member,c1a021af-ba0c-4e8e-820e-3238f15649fd
2020-07-08T00:46:00.594745Z,PH,,,,,,,frsnet,frsnet,,,,,Create FRS User account,5bf4fb5d-09ec-4981-8b06-67f2ccac420d
2020-07-08T00:57:28.453329Z,PH,,,,,,,frsnet access,frsnet access,How Do I Request for a Symposium Web Access,,,,Create FRS User account,64e90da4-385d-4d53-9eff-b9d73d15af30
2020-07-08T00:58:51.048958Z,PH,,,,,,,frs,frs,,,,,Anti-Malware Service System (AMSS),cf55e020-9136-44ce-9b1c-b62553b8ab7e
2020-07-08T00:58:57.091761Z,PH,,,,,,,frsnet,frsnet,,,,,Create FRS User account,cf55e020-9136-44ce-9b1c-b62553b8ab7e
2020-07-08T01:06:40.837504Z,TW,,,,,,,DL,dl,Acronym Info,,,,Distribution List,d496eb9b-b114-48fb-b639-e4c41097dd4b
2020-07-08T01:11:03.552313Z,JP,,,,,,,SFDC,sfdc,JP SalesForce,,,,Salesforce CRM and PRM,6001ec6d-301c-4a00-a95a-3f48ff766a14
2020-07-08T01:25:27.567256Z,PH,,,,,,,gsd-77530,gsd-77530,Global IT Contact Info,,,,,4534adb2-f3c3-48c3-a5be-a7021a96e0cf
2020-07-08T01:25:31.510817Z,APAC,charlie_cao,Yes,Nexus,Yes,,,Nexus,nexus,ETS Nexus Service Introduction,,,,,020549a5-cecf-4229-b611-f179b0135cf3
2020-07-08T01:25:57.881989Z,APAC,charlie_cao,Yes,VCM,Yes,,,Github,github,00. How to Request the GitHub EE,,,,Digital Hub,020549a5-cecf-4229-b611-f179b0135cf3
2020-07-08T01:30:30.66353Z,PH,,,,,,,RSNET,rsnet,,,,,,e9840dfc-a6cf-4d24-a298-34a6fe0c7d0c
2020-07-08T01:44:19.554239Z,PH,,,,,,,vcenter access,vcenter access,How Do I Request for a Symposium Web Access,,,,VMware License Request,e54f21e6-0853-45b2-ac1b-0fed5d3fbef9
